lat;lon;validdate;t_apparent_mean_1h:C
-35.047591;149.129045;2023-12-05T12:00:00Z;18.6
-35.047591;149.129045;2023-12-05T15:00:00Z;18.3
-35.047591;149.129045;2023-12-05T18:00:00Z;16.3
-35.047591;149.129045;2023-12-05T21:00:00Z;21.9
-35.047591;149.129045;2023-12-06T00:00:00Z;32.7
-35.047591;149.129045;2023-12-06T03:00:00Z;35.1
-35.047591;149.129045;2023-12-06T06:00:00Z;30.5
-35.047591;149.129045;2023-12-06T09:00:00Z;21.7
-35.047591;149.129045;2023-12-06T12:00:00Z;17.3
-35.047591;149.129045;2023-12-06T15:00:00Z;14.7
-35.047591;149.129045;2023-12-06T18:00:00Z;13.7
-35.047591;149.129045;2023-12-06T21:00:00Z;19.6
-35.047591;149.129045;2023-12-07T00:00:00Z;31.0
-35.047591;149.129045;2023-12-07T03:00:00Z;30.6
-35.047591;149.129045;2023-12-07T06:00:00Z;26.7
-35.047591;149.129045;2023-12-07T09:00:00Z;21.8
-35.047591;149.129045;2023-12-07T12:00:00Z;18.6
-35.047591;149.129045;2023-12-07T15:00:00Z;18.5
-35.047591;149.129045;2023-12-07T18:00:00Z;16.9
-35.047591;149.129045;2023-12-07T21:00:00Z;22.3
-35.047591;149.129045;2023-12-08T00:00:00Z;34.0
-35.047591;149.129045;2023-12-08T03:00:00Z;35.6
-35.047591;149.129045;2023-12-08T06:00:00Z;32.2
-35.047591;149.129045;2023-12-08T09:00:00Z;25.5
-35.047591;149.129045;2023-12-08T12:00:00Z;21.6
-35.047591;149.129045;2023-12-08T15:00:00Z;20.9
-35.047591;149.129045;2023-12-08T18:00:00Z;21.0
-35.047591;149.129045;2023-12-08T21:00:00Z;25.9
-35.047591;149.129045;2023-12-09T00:00:00Z;35.1
-35.047591;149.129045;2023-12-09T03:00:00Z;39.7
-35.047591;149.129045;2023-12-09T06:00:00Z;36.1
-35.047591;149.129045;2023-12-09T09:00:00Z;27.1
-35.047591;149.129045;2023-12-09T12:00:00Z;18.3
-35.047591;149.129045;2023-12-09T15:00:00Z;16.2
-35.047591;149.129045;2023-12-09T18:00:00Z;15.4
-35.047591;149.129045;2023-12-09T21:00:00Z;18.0
-35.047591;149.129045;2023-12-10T00:00:00Z;25.8
-35.047591;149.129045;2023-12-10T03:00:00Z;34.6
-35.047591;149.129045;2023-12-10T06:00:00Z;33.4
-35.047591;149.129045;2023-12-10T09:00:00Z;25.8
-35.047591;149.129045;2023-12-10T12:00:00Z;20.8
-35.047591;149.129045;2023-12-10T15:00:00Z;19.2
-35.047591;149.129045;2023-12-10T18:00:00Z;17.3
-35.047591;149.129045;2023-12-10T21:00:00Z;22.0
-35.047591;149.129045;2023-12-11T00:00:00Z;31.1
-35.047591;149.129045;2023-12-11T03:00:00Z;33.5
-35.047591;149.129045;2023-12-11T06:00:00Z;33.3
-35.047591;149.129045;2023-12-11T09:00:00Z;24.2
-35.047591;149.129045;2023-12-11T12:00:00Z;19.4
-35.047591;149.129045;2023-12-11T15:00:00Z;19.0
-35.047591;149.129045;2023-12-11T18:00:00Z;18.5
-35.047591;149.129045;2023-12-11T21:00:00Z;20.9
-35.047591;149.129045;2023-12-12T00:00:00Z;28.9
-35.047591;149.129045;2023-12-12T03:00:00Z;34.1
-35.047591;149.129045;2023-12-12T06:00:00Z;33.6
-35.047591;149.129045;2023-12-12T09:00:00Z;24.4
-35.047591;149.129045;2023-12-12T12:00:00Z;20.0
-35.047591;149.129045;2023-12-12T15:00:00Z;18.5
-35.047591;149.129045;2023-12-12T18:00:00Z;16.8
-35.047591;149.129045;2023-12-12T21:00:00Z;21.7
-35.047591;149.129045;2023-12-13T00:00:00Z;33.7
-35.047591;149.129045;2023-12-13T03:00:00Z;37.7
-35.047591;149.129045;2023-12-13T06:00:00Z;33.7
-35.047591;149.129045;2023-12-13T09:00:00Z;25.7
-35.047591;149.129045;2023-12-13T12:00:00Z;21.5
-35.047591;149.129045;2023-12-13T15:00:00Z;17.9
-35.047591;149.129045;2023-12-13T18:00:00Z;17.2
-35.047591;149.129045;2023-12-13T21:00:00Z;22.2
-35.047591;149.129045;2023-12-14T00:00:00Z;30.2
-35.047591;149.129045;2023-12-14T03:00:00Z;33.6
-35.047591;149.129045;2023-12-14T06:00:00Z;28.2
-35.047591;149.129045;2023-12-14T09:00:00Z;19.6
-35.047591;149.129045;2023-12-14T12:00:00Z;16.2
-35.047591;149.129045;2023-12-14T15:00:00Z;14.6
-35.047591;149.129045;2023-12-14T18:00:00Z;12.9
-35.047591;149.129045;2023-12-14T21:00:00Z;19.0
-35.047591;149.129045;2023-12-15T00:00:00Z;28.8
-35.047591;149.184601;2023-11-25T00:00:00Z;23.4
-35.047591;149.184601;2023-11-25T03:00:00Z;26.4
-35.047591;149.184601;2023-11-25T06:00:00Z;24.7
-35.047591;149.184601;2023-11-25T09:00:00Z;19.3
-35.047591;149.184601;2023-11-25T12:00:00Z;16.0
-35.047591;149.184601;2023-11-25T15:00:00Z;15.1
-35.047591;149.184601;2023-11-25T18:00:00Z;14.2
-35.047591;149.184601;2023-11-25T21:00:00Z;17.1
-35.047591;149.184601;2023-11-26T00:00:00Z;25.8
-35.047591;149.184601;2023-11-26T03:00:00Z;28.7
-35.047591;149.184601;2023-11-26T06:00:00Z;26.6
-35.047591;149.184601;2023-11-26T09:00:00Z;19.0
-35.047591;149.184601;2023-11-26T12:00:00Z;16.1
-35.047591;149.184601;2023-11-26T15:00:00Z;14.8
-35.047591;149.184601;2023-11-26T18:00:00Z;16.4
-35.047591;149.184601;2023-11-26T21:00:00Z;19.0
-35.047591;149.184601;2023-11-27T00:00:00Z;27.4
-35.047591;149.184601;2023-11-27T03:00:00Z;31.0
-35.047591;149.184601;2023-11-27T06:00:00Z;27.8
-35.047591;149.184601;2023-11-27T09:00:00Z;18.6
-35.047591;149.184601;2023-11-27T12:00:00Z;15.7
-35.047591;149.184601;2023-11-27T15:00:00Z;15.9
-35.047591;149.184601;2023-11-27T18:00:00Z;15.3
-35.047591;149.184601;2023-11-27T21:00:00Z;18.3
-35.047591;149.184601;2023-11-28T00:00:00Z;25.9
-35.047591;149.184601;2023-11-28T03:00:00Z;24.6
-35.047591;149.184601;2023-11-28T06:00:00Z;20.6
-35.047591;149.184601;2023-11-28T09:00:00Z;16.2
-35.047591;149.184601;2023-11-28T12:00:00Z;15.9
-35.047591;149.184601;2023-11-28T15:00:00Z;14.5
-35.047591;149.184601;2023-11-28T18:00:00Z;14.9
